SUBDIVISION,YEAR,QUARTER,TERRAIN,PREDICTED_PRECIPITATION
NAGA MANI MIZO TRIPURA,2016,Mar-May,Hilly,200.78323364257812
NAGA MANI MIZO TRIPURA,2016,Oct-Dec,Hilly,92.92951202392578
NORTH INTERIOR KARNATAKA,2016,Jan-Feb,Coastal,11.964526176452637
NORTH INTERIOR KARNATAKA,2016,Jun-Sep,Coastal,986.0281372070312
NORTH INTERIOR KARNATAKA,2016,Mar-May,Coastal,144.11245727539062
NORTH INTERIOR KARNATAKA,2016,Oct-Dec,Coastal,167.38253784179688
ORISSA,2016,Jan-Feb,Coastal,12.61801528930664
ORISSA,2016,Jun-Sep,Coastal,953.60791015625
ORISSA,2016,Mar-May,Coastal,142.8751220703125
ORISSA,2016,Oct-Dec,Coastal,162.10894775390625
PUNJAB,2016,Jan-Feb,Plain-land,4.6531548500061035
PUNJAB,2016,Jun-Sep,Plain-land,625.972412109375
PUNJAB,2016,Mar-May,Plain-land,23.211702346801758
PUNJAB,2016,Oct-Dec,Plain-land,47.13507080078125
SOUTH INTERIOR KARNATAKA,2016,Jan-Feb,Coastal,11.66958236694336
SOUTH INTERIOR KARNATAKA,2016,Jun-Sep,Coastal,907.1630249023438
SOUTH INTERIOR KARNATAKA,2016,Mar-May,Coastal,138.93997192382812
SOUTH INTERIOR KARNATAKA,2016,Oct-Dec,Coastal,151.95919799804688
SUB HIMALAYAN WEST BENGAL & SIKKIM,2016,Jan-Feb,Hilly,49.453460693359375
SUB HIMALAYAN WEST BENGAL & SIKKIM,2016,Jun-Sep,Hilly,757.9301147460938
SUB HIMALAYAN WEST BENGAL & SIKKIM,2016,Mar-May,Hilly,180.71218872070312
SUB HIMALAYAN WEST BENGAL & SIKKIM,2016,Oct-Dec,Hilly,114.79425048828125
TAMIL NADU,2016,Jan-Feb,Hilly/coastal,44.08779525756836
TAMIL NADU,2016,Jun-Sep,Hilly/coastal,713.9181518554688
TAMIL NADU,2016,Mar-May,Hilly/coastal,134.3688507080078
TAMIL NADU,2016,Oct-Dec,Hilly/coastal,132.98353576660156
TELANGANA,2016,Jan-Feb,Hilly/plain,35.309715270996094
TELANGANA,2016,Jun-Sep,Hilly/plain,669.4161376953125
TELANGANA,2016,Mar-May,Hilly/plain,87.72527313232422
TELANGANA,2016,Oct-Dec,Hilly/plain,116.8132095336914
UTTARAKHAND,2016,Jan-Feb,Hilly,46.888450622558594
UTTARAKHAND,2016,Jun-Sep,Hilly,722.0633544921875
UTTARAKHAND,2016,Mar-May,Hilly,164.798828125
UTTARAKHAND,2016,Oct-Dec,Hilly,129.05111694335938
WEST MADHYA PRADESH,2016,Jan-Feb,Plain-land,6.4982171058654785
WEST MADHYA PRADESH,2016,Jun-Sep,Plain-land,582.1351928710938
WEST MADHYA PRADESH,2016,Mar-May,Plain-land,26.4608211517334
WEST MADHYA PRADESH,2016,Oct-Dec,Plain-land,77.6421127319336
WEST RAJASTHAN,2016,Jan-Feb,Desert,14.285676002502441
WEST RAJASTHAN,2016,Jun-Sep,Desert,766.953857421875
WEST RAJASTHAN,2016,Mar-May,Desert,131.97732543945312
WEST RAJASTHAN,2016,Oct-Dec,Desert,115.09548950195312
WEST UTTAR PRADESH,2016,Jan-Feb,Hilly,46.17112731933594
WEST UTTAR PRADESH,2016,Jun-Sep,Hilly,684.212890625
WEST UTTAR PRADESH,2016,Mar-May,Hilly,154.33489990234375
WEST UTTAR PRADESH,2016,Oct-Dec,Hilly,146.227783203125
ANDAMAN & NICOBAR ISLANDS,2017,Jan-Feb,Island,83.51441955566406
ANDAMAN & NICOBAR ISLANDS,2017,Jun-Sep,Island,1232.595947265625
ANDAMAN & NICOBAR ISLANDS,2017,Mar-May,Island,416.3586730957031
ANDAMAN & NICOBAR ISLANDS,2017,Oct-Dec,Island,331.7518005371094
ARUNACHAL PRADESH,2017,Jan-Feb,Hilly,91.9072494506836
ARUNACHAL PRADESH,2017,Jun-Sep,Hilly,1404.688720703125
ARUNACHAL PRADESH,2017,Mar-May,Hilly,422.2307434082031
ARUNACHAL PRADESH,2017,Oct-Dec,Hilly,268.2030334472656
ASSAM & MEGHALAYA,2017,Jan-Feb,Hilly,60.47479248046875
ASSAM & MEGHALAYA,2017,Jun-Sep,Hilly,1357.350830078125
ASSAM & MEGHALAYA,2017,Mar-May,Hilly,381.7935485839844
ASSAM & MEGHALAYA,2017,Oct-Dec,Hilly,224.057373046875
BIHAR,2017,Jan-Feb,Plain-land,10.335932731628418
BIHAR,2017,Jun-Sep,Plain-land,1012.661376953125
BIHAR,2017,Mar-May,Plain-land,221.46763610839844
BIHAR,2017,Oct-Dec,Plain-land,169.62001037597656
CHHATTISGARH,2017,Jan-Feb,Hilly,33.052207946777344
CHHATTISGARH,2017,Jun-Sep,Hilly,1262.6751708984375
CHHATTISGARH,2017,Mar-May,Hilly,300.6268005371094
CHHATTISGARH,2017,Oct-Dec,Hilly,139.09658813476562
COASTAL ANDHRA PRADESH,2017,Jan-Feb,Coastal,5.106171131134033
COASTAL ANDHRA PRADESH,2017,Jun-Sep,Coastal,1642.3671875
COASTAL ANDHRA PRADESH,2017,Mar-May,Coastal,187.94338989257812
COASTAL ANDHRA PRADESH,2017,Oct-Dec,Coastal,251.5832061767578
COASTAL KARNATAKA,2017,Jan-Feb,Coastal,1.4606599807739258
COASTAL KARNATAKA,2017,Jun-Sep,Coastal,1596.7021484375
COASTAL KARNATAKA,2017,Mar-May,Coastal,162.43931579589844
COASTAL KARNATAKA,2017,Oct-Dec,Coastal,232.1904296875
EAST MADHYA PRADESH,2017,Jan-Feb,Everything,23.328935623168945
EAST MADHYA PRADESH,2017,Jun-Sep,Everything,1262.633544921875
EAST MADHYA PRADESH,2017,Mar-May,Everything,154.44110107421875
EAST MADHYA PRADESH,2017,Oct-Dec,Everything,67.01258087158203
EAST RAJASTHAN,2017,Jan-Feb,Desert,2.323622941970825
EAST RAJASTHAN,2017,Jun-Sep,Desert,1361.131591796875
EAST RAJASTHAN,2017,Mar-May,Desert,120.49288177490234
EAST RAJASTHAN,2017,Oct-Dec,Desert,108.98458099365234
EAST UTTAR PRADESH,2017,Jan-Feb,Rugged,0.2317894846200943
EAST UTTAR PRADESH,2017,Jun-Sep,Rugged,722.07177734375
EAST UTTAR PRADESH,2017,Mar-May,Rugged,29.808378219604492
EAST UTTAR PRADESH,2017,Oct-Dec,Rugged,8.759854316711426
GANGETIC WEST BENGAL,2017,Jan-Feb,Coastal-plateau,2.1688477993011475
GANGETIC WEST BENGAL,2017,Jun-Sep,Coastal-plateau,1341.0748291015625
GANGETIC WEST BENGAL,2017,Mar-May,Coastal-plateau,111.7392807006836
GANGETIC WEST BENGAL,2017,Oct-Dec,Coastal-plateau,152.30487060546875
GUJARAT REGION,2017,Jan-Feb,Desert/marsh,26.660329818725586
GUJARAT REGION,2017,Jun-Sep,Desert/marsh,1152.0250244140625
GUJARAT REGION,2017,Mar-May,Desert/marsh,124.8004379272461
GUJARAT REGION,2017,Oct-Dec,Desert/marsh,83.5771713256836
HARYANA DELHI & CHANDIGARH,2017,Jan-Feb,Plain-land,1.3099292516708374
HARYANA DELHI & CHANDIGARH,2017,Jun-Sep,Plain-land,708.4052734375
HARYANA DELHI & CHANDIGARH,2017,Mar-May,Plain-land,48.48942947387695
HARYANA DELHI & CHANDIGARH,2017,Oct-Dec,Plain-land,23.175264358520508
HIMACHAL PRADESH,2017,Jan-Feb,Hilly,64.60598754882812
HIMACHAL PRADESH,2017,Jun-Sep,Hilly,874.5902709960938
HIMACHAL PRADESH,2017,Mar-May,Hilly,201.33145141601562
HIMACHAL PRADESH,2017,Oct-Dec,Hilly,86.95748901367188
JAMMU & KASHMIR,2017,Jan-Feb,Hilly,63.959266662597656
JAMMU & KASHMIR,2017,Jun-Sep,Hilly,851.026123046875
JAMMU & KASHMIR,2017,Mar-May,Hilly,204.02200317382812
JAMMU & KASHMIR,2017,Oct-Dec,Hilly,87.28323364257812
JHARKHAND,2017,Jan-Feb,Forest,53.539886474609375
JHARKHAND,2017,Jun-Sep,Forest,877.6724853515625
JHARKHAND,2017,Mar-May,Forest,181.62583923339844
JHARKHAND,2017,Oct-Dec,Forest,91.60578155517578
KERALA,2017,Jan-Feb,Coastal,9.619268417358398
KERALA,2017,Jun-Sep,Coastal,1116.414306640625
KERALA,2017,Mar-May,Coastal,138.7533416748047
KERALA,2017,Oct-Dec,Coastal,189.09039306640625
MADHYA MAHARASHTRA,2017,Jan-Feb,Plain-land,4.487752437591553
MADHYA MAHARASHTRA,2017,Jun-Sep,Plain-land,658.5797119140625
MADHYA MAHARASHTRA,2017,Mar-May,Plain-land,37.68915557861328
MADHYA MAHARASHTRA,2017,Oct-Dec,Plain-land,33.23356628417969
NAGA MANI MIZO TRIPURA,2017,Jan-Feb,Hilly,56.97925567626953
NAGA MANI MIZO TRIPURA,2017,Jun-Sep,Hilly,804.7252807617188
NAGA MANI MIZO TRIPURA,2017,Mar-May,Hilly,200.85577392578125
NAGA MANI MIZO TRIPURA,2017,Oct-Dec,Hilly,93.36730194091797
NORTH INTERIOR KARNATAKA,2017,Jan-Feb,Coastal,12.1392183303833
NORTH INTERIOR KARNATAKA,2017,Jun-Sep,Coastal,984.0365600585938
NORTH INTERIOR KARNATAKA,2017,Mar-May,Coastal,144.837646484375
NORTH INTERIOR KARNATAKA,2017,Oct-Dec,Coastal,166.91656494140625
ORISSA,2017,Jan-Feb,Coastal,12.80228042602539
ORISSA,2017,Jun-Sep,Coastal,951.705810546875
ORISSA,2017,Mar-May,Coastal,143.4985809326172
ORISSA,2017,Oct-Dec,Coastal,161.77139282226562
PUNJAB,2017,Jan-Feb,Plain-land,4.922760963439941
PUNJAB,2017,Jun-Sep,Plain-land,623.6799926757812
PUNJAB,2017,Mar-May,Plain-land,24.42783546447754
PUNJAB,2017,Oct-Dec,Plain-land,47.50261306762695
SOUTH INTERIOR KARNATAKA,2017,Jan-Feb,Coastal,11.838607788085938
SOUTH INTERIOR KARNATAKA,2017,Jun-Sep,Coastal,904.92529296875
SOUTH INTERIOR KARNATAKA,2017,Mar-May,Coastal,139.1873321533203
SOUTH INTERIOR KARNATAKA,2017,Oct-Dec,Coastal,151.78724670410156
SUB HIMALAYAN WEST BENGAL & SIKKIM,2017,Jan-Feb,Hilly,49.785789489746094
SUB HIMALAYAN WEST BENGAL & SIKKIM,2017,Jun-Sep,Hilly,755.5128173828125
SUB HIMALAYAN WEST BENGAL & SIKKIM,2017,Mar-May,Hilly,181.0665740966797
SUB HIMALAYAN WEST BENGAL & SIKKIM,2017,Oct-Dec,Hilly,114.80673217773438
TAMIL NADU,2017,Jan-Feb,Hilly/coastal,44.45404815673828
TAMIL NADU,2017,Jun-Sep,Hilly/coastal,711.502685546875
TAMIL NADU,2017,Mar-May,Hilly/coastal,134.73712158203125
TAMIL NADU,2017,Oct-Dec,Hilly/coastal,132.86219787597656
TELANGANA,2017,Jan-Feb,Hilly/plain,35.771385192871094
TELANGANA,2017,Jun-Sep,Hilly/plain,667.0638427734375
TELANGANA,2017,Mar-May,Hilly/plain,88.24706268310547
TELANGANA,2017,Oct-Dec,Hilly/plain,116.88211822509766
UTTARAKHAND,2017,Jan-Feb,Hilly,47.202919006347656
UTTARAKHAND,2017,Jun-Sep,Hilly,719.625244140625
UTTARAKHAND,2017,Mar-May,Hilly,165.15322875976562
UTTARAKHAND,2017,Oct-Dec,Hilly,129.09840393066406
WEST MADHYA PRADESH,2017,Jan-Feb,Plain-land,6.783974647521973
WEST MADHYA PRADESH,2017,Jun-Sep,Plain-land,579.8502197265625
WEST MADHYA PRADESH,2017,Mar-May,Plain-land,27.1061954498291
WEST MADHYA PRADESH,2017,Oct-Dec,Plain-land,77.88888549804688
WEST RAJASTHAN,2017,Jan-Feb,Desert,14.328516960144043
WEST RAJASTHAN,2017,Jun-Sep,Desert,764.527099609375
WEST RAJASTHAN,2017,Mar-May,Desert,132.169189453125
WEST RAJASTHAN,2017,Oct-Dec,Desert,115.16944122314453
WEST UTTAR PRADESH,2017,Jan-Feb,Hilly,46.54303741455078
WEST UTTAR PRADESH,2017,Jun-Sep,Hilly,681.75341796875
WEST UTTAR PRADESH,2017,Mar-May,Hilly,154.7406463623047
WEST UTTAR PRADESH,2017,Oct-Dec,Hilly,146.07981872558594
ANDAMAN & NICOBAR ISLANDS,2018,Jan-Feb,Island,84.56299591064453
ANDAMAN & NICOBAR ISLANDS,2018,Jun-Sep,Island,1229.21337890625
ANDAMAN & NICOBAR ISLANDS,2018,Mar-May,Island,417.9740295410156
ANDAMAN & NICOBAR ISLANDS,2018,Oct-Dec,Island,332.0921325683594
ARUNACHAL PRADESH,2018,Jan-Feb,Hilly,93.20582580566406
ARUNACHAL PRADESH,2018,Jun-Sep,Hilly,1400.981689453125
ARUNACHAL PRADESH,2018,Mar-May,Hilly,422.9458312988281
ARUNACHAL PRADESH,2018,Oct-Dec,Hilly,268.7596130371094
ASSAM & MEGHALAYA,2018,Jan-Feb,Hilly,61.87065887451172
ASSAM & MEGHALAYA,2018,Jun-Sep,Hilly,1353.64404296875
ASSAM & MEGHALAYA,2018,Mar-May,Hilly,382.5454406738281
ASSAM & MEGHALAYA,2018,Oct-Dec,Hilly,224.67384338378906
BIHAR,2018,Jan-Feb,Plain-land,10.498177528381348
BIHAR,2018,Jun-Sep,Plain-land,1009.8236083984375
BIHAR,2018,Mar-May,Plain-land,223.3759002685547
BIHAR,2018,Oct-Dec,Plain-land,170.46331787109375
CHHATTISGARH,2018,Jan-Feb,Hilly,34.00493240356445
CHHATTISGARH,2018,Jun-Sep,Hilly,1258.96826171875
CHHATTISGARH,2018,Mar-May,Hilly,301.53271484375
CHHATTISGARH,2018,Oct-Dec,Hilly,139.66188049316406
COASTAL ANDHRA PRADESH,2018,Jan-Feb,Coastal,6.050182819366455
COASTAL ANDHRA PRADESH,2018,Jun-Sep,Coastal,1638.5867919921875
COASTAL ANDHRA PRADESH,2018,Mar-May,Coastal,190.07696533203125
COASTAL ANDHRA PRADESH,2018,Oct-Dec,Coastal,252.8395538330078
COASTAL KARNATAKA,2018,Jan-Feb,Coastal,1.9915244579315186
COASTAL KARNATAKA,2018,Jun-Sep,Coastal,1592.922119140625
COASTAL KARNATAKA,2018,Mar-May,Coastal,164.78590393066406
COASTAL KARNATAKA,2018,Oct-Dec,Coastal,232.628173828125
EAST MADHYA PRADESH,2018,Jan-Feb,Everything,23.900060653686523
EAST MADHYA PRADESH,2018,Jun-Sep,Everything,1258.72021484375
EAST MADHYA PRADESH,2018,Mar-May,Everything,156.1293487548828
EAST MADHYA PRADESH,2018,Oct-Dec,Everything,67.84247589111328
EAST RAJASTHAN,2018,Jan-Feb,Desert,2.738736391067505
EAST RAJASTHAN,2018,Jun-Sep,Desert,1357.351318359375
EAST RAJASTHAN,2018,Mar-May,Desert,121.98575592041016
EAST RAJASTHAN,2018,Oct-Dec,Desert,110.50257873535156
EAST UTTAR PRADESH,2018,Jan-Feb,Rugged,0.231502503156662
EAST UTTAR PRADESH,2018,Jun-Sep,Rugged,721.3880615234375
EAST UTTAR PRADESH,2018,Mar-May,Rugged,30.831314086914062
EAST UTTAR PRADESH,2018,Oct-Dec,Rugged,10.052005767822266
GANGETIC WEST BENGAL,2018,Jan-Feb,Coastal-plateau,2.5283727645874023
GANGETIC WEST BENGAL,2018,Jun-Sep,Coastal-plateau,1337.308349609375
GANGETIC WEST BENGAL,2018,Mar-May,Coastal-plateau,113.33631134033203
GANGETIC WEST BENGAL,2018,Oct-Dec,Coastal-plateau,153.01382446289062
GUJARAT REGION,2018,Jan-Feb,Desert/marsh,26.76319122314453
GUJARAT REGION,2018,Jun-Sep,Desert/marsh,1148.4791259765625
GUJARAT REGION,2018,Mar-May,Desert/marsh,125.89839172363281
GUJARAT REGION,2018,Oct-Dec,Desert/marsh,84.43126678466797
HARYANA DELHI & CHANDIGARH,2018,Jan-Feb,Plain-land,1.3228907585144043
HARYANA DELHI & CHANDIGARH,2018,Jun-Sep,Plain-land,707.2106323242188
HARYANA DELHI & CHANDIGARH,2018,Mar-May,Plain-land,49.465965270996094
HARYANA DELHI & CHANDIGARH,2018,Oct-Dec,Plain-land,24.164257049560547
HIMACHAL PRADESH,2018,Jan-Feb,Hilly,64.5372543334961
HIMACHAL PRADESH,2018,Jun-Sep,Hilly,872.8001098632812
HIMACHAL PRADESH,2018,Mar-May,Hilly,201.59918212890625
HIMACHAL PRADESH,2018,Oct-Dec,Hilly,87.80060577392578
JAMMU & KASHMIR,2018,Jan-Feb,Hilly,63.89765548706055
JAMMU & KASHMIR,2018,Jun-Sep,Hilly,849.04638671875
JAMMU & KASHMIR,2018,Mar-May,Hilly,204.15196228027344
JAMMU & KASHMIR,2018,Oct-Dec,Hilly,88.12440490722656
JHARKHAND,2018,Jan-Feb,Forest,53.5968132019043
JHARKHAND,2018,Jun-Sep,Forest,875.609375
JHARKHAND,2018,Mar-May,Forest,181.7513427734375
JHARKHAND,2018,Oct-Dec,Forest,92.33895111083984
KERALA,2018,Jan-Feb,Coastal,9.995587348937988
KERALA,2018,Jun-Sep,Coastal,1113.1209716796875
KERALA,2018,Mar-May,Coastal,139.84608459472656
KERALA,2018,Oct-Dec,Coastal,188.36654663085938
MADHYA MAHARASHTRA,2018,Jan-Feb,Plain-land,4.740909099578857
MADHYA MAHARASHTRA,2018,Jun-Sep,Plain-land,656.81103515625
MADHYA MAHARASHTRA,2018,Mar-May,Plain-land,38.906742095947266
MADHYA MAHARASHTRA,2018,Oct-Dec,Plain-land,33.671852111816406
NAGA MANI MIZO TRIPURA,2018,Jan-Feb,Hilly,57.14714813232422
NAGA MANI MIZO TRIPURA,2018,Jun-Sep,Hilly,802.1469116210938
NAGA MANI MIZO TRIPURA,2018,Mar-May,Hilly,200.9283447265625
NAGA MANI MIZO TRIPURA,2018,Oct-Dec,Hilly,93.87670135498047
NORTH INTERIOR KARNATAKA,2018,Jan-Feb,Coastal,12.313915252685547
NORTH INTERIOR KARNATAKA,2018,Jun-Sep,Coastal,982.111572265625
NORTH INTERIOR KARNATAKA,2018,Mar-May,Coastal,145.73426818847656
NORTH INTERIOR KARNATAKA,2018,Oct-Dec,Coastal,166.82864379882812
ORISSA,2018,Jan-Feb,Coastal,12.987740516662598
ORISSA,2018,Jun-Sep,Coastal,949.8037109375
ORISSA,2018,Mar-May,Coastal,144.19195556640625
ORISSA,2018,Oct-Dec,Coastal,161.79541015625
PUNJAB,2018,Jan-Feb,Plain-land,5.192368030548096
PUNJAB,2018,Jun-Sep,Plain-land,621.458740234375
PUNJAB,2018,Mar-May,Plain-land,25.64607810974121
PUNJAB,2018,Oct-Dec,Plain-land,47.87377166748047
SOUTH INTERIOR KARNATAKA,2018,Jan-Feb,Coastal,12.007673263549805
SOUTH INTERIOR KARNATAKA,2018,Jun-Sep,Coastal,902.8995361328125
SOUTH INTERIOR KARNATAKA,2018,Mar-May,Coastal,139.603759765625
SOUTH INTERIOR KARNATAKA,2018,Oct-Dec,Coastal,151.75177001953125
SUB HIMALAYAN WEST BENGAL & SIKKIM,2018,Jan-Feb,Hilly,50.11811828613281
SUB HIMALAYAN WEST BENGAL & SIKKIM,2018,Jun-Sep,Hilly,753.1561279296875
SUB HIMALAYAN WEST BENGAL & SIKKIM,2018,Mar-May,Hilly,181.42095947265625
SUB HIMALAYAN WEST BENGAL & SIKKIM,2018,Oct-Dec,Hilly,114.87211608886719
TAMIL NADU,2018,Jan-Feb,Hilly/coastal,44.8203010559082
TAMIL NADU,2018,Jun-Sep,Hilly/coastal,709.09716796875
TAMIL NADU,2018,Mar-May,Hilly/coastal,135.1053924560547
TAMIL NADU,2018,Oct-Dec,Hilly/coastal,132.8370361328125
TELANGANA,2018,Jan-Feb,Hilly/plain,36.23305130004883
TELANGANA,2018,Jun-Sep,Hilly/plain,664.7116088867188
TELANGANA,2018,Mar-May,Hilly/plain,88.9884033203125
TELANGANA,2018,Oct-Dec,Hilly/plain,117.08201599121094
UTTARAKHAND,2018,Jan-Feb,Hilly,47.51738739013672
UTTARAKHAND,2018,Jun-Sep,Hilly,717.1871337890625
UTTARAKHAND,2018,Mar-May,Hilly,165.50762939453125
UTTARAKHAND,2018,Oct-Dec,Hilly,129.16226196289062
WEST MADHYA PRADESH,2018,Jan-Feb,Plain-land,7.146247386932373
WEST MADHYA PRADESH,2018,Jun-Sep,Plain-land,577.5653076171875
WEST MADHYA PRADESH,2018,Mar-May,Plain-land,27.78925132751465
WEST MADHYA PRADESH,2018,Oct-Dec,Plain-land,78.13565826416016
WEST RAJASTHAN,2018,Jan-Feb,Desert,14.380029678344727
WEST RAJASTHAN,2018,Jun-Sep,Desert,762.2559814453125
WEST RAJASTHAN,2018,Mar-May,Desert,132.46343994140625
WEST RAJASTHAN,2018,Oct-Dec,Desert,115.24340057373047
WEST UTTAR PRADESH,2018,Jan-Feb,Hilly,46.914939880371094
WEST UTTAR PRADESH,2018,Jun-Sep,Hilly,679.3585205078125
WEST UTTAR PRADESH,2018,Mar-May,Hilly,155.14947509765625
WEST UTTAR PRADESH,2018,Oct-Dec,Hilly,145.93186950683594
ANDAMAN & NICOBAR ISLANDS,2019,Jan-Feb,Island,85.74012756347656
ANDAMAN & NICOBAR ISLANDS,2019,Jun-Sep,Island,1225.840087890625
ANDAMAN & NICOBAR ISLANDS,2019,Mar-May,Island,419.5893249511719
ANDAMAN & NICOBAR ISLANDS,2019,Oct-Dec,Island,332.4344177246094
ARUNACHAL PRADESH,2019,Jan-Feb,Hilly,94.51085662841797
ARUNACHAL PRADESH,2019,Jun-Sep,Hilly,1397.27490234375
ARUNACHAL PRADESH,2019,Mar-May,Hilly,423.66094970703125
ARUNACHAL PRADESH,2019,Oct-Dec,Hilly,269.4413757324219
ASSAM & MEGHALAYA,2019,Jan-Feb,Hilly,63.29920959472656
ASSAM & MEGHALAYA,2019,Jun-Sep,Hilly,1349.937255859375
ASSAM & MEGHALAYA,2019,Mar-May,Hilly,383.3074645996094
ASSAM & MEGHALAYA,2019,Oct-Dec,Hilly,225.3125
BIHAR,2019,Jan-Feb,Plain-land,10.666112899780273
BIHAR,2019,Jun-Sep,Plain-land,1007.0145874023438
BIHAR,2019,Mar-May,Plain-land,225.2841339111328
