SUBDIVISION,YEAR,ANNUAL PRECIPITATION,QUARTER,PRECIPITATION,SEVERITY1,TERRAIN,CLIMATE,SEVERITY
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Mar-May,348.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Jun-Sep,1561.2,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,1998,2846.4,Oct-Dec,935.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Jan-Feb,91.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Mar-May,542.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Jun-Sep,1358,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,1999,2699.7,Oct-Dec,708.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Jan-Feb,112,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Mar-May,812.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Jun-Sep,1244.2,0,Island,Tropical,1
ANDAMAN & NICOBAR ISLANDS,2000,2763.2,Oct-Dec,594.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Jan-Feb,104.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Mar-May,878.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Jun-Sep,1515.4,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2001,3080.9,Oct-Dec,582,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Jan-Feb,10.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Mar-May,478.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Jun-Sep,1525.6,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2002,2620.2,Oct-Dec,605.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Jan-Feb,52.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Mar-May,465,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Jun-Sep,1406.1,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2003,2355.9,Oct-Dec,432.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Jan-Feb,90.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Mar-May,583.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Jun-Sep,1392.2,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2004,2460.1,Oct-Dec,394.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Jan-Feb,0,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Mar-May,376.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Jun-Sep,1700.4,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2005,2954.7,Oct-Dec,877.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Jan-Feb,30.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Mar-May,534,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Jun-Sep,1314.9,0,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2006,2404.7,Oct-Dec,525.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2007,2748,Jan-Feb,6.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2007,2748,Mar-May,429.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2007,2748,Jun-Sep,1793.1,0,Island,Tropical,4
ANDAMAN & NICOBAR ISLANDS,2007,2748,Oct-Dec,518.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Jan-Feb,77.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Mar-May,877.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Jun-Sep,1783.1,2,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2008,3374.8,Oct-Dec,636.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Jan-Feb,30.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Mar-May,493.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Jun-Sep,1627.1,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2009,2538.6,Oct-Dec,386.9,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Jan-Feb,109.8,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Mar-May,332.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Jun-Sep,1797.8,1,Island,Tropical,1
ANDAMAN & NICOBAR ISLANDS,2010,3157.1,Oct-Dec,917.3,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2011,3828,Jan-Feb,350.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2011,3828,Mar-May,710.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2011,3828,Jun-Sep,2165,2,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2011,3828,Oct-Dec,601.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Jan-Feb,165.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Mar-May,620.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Jun-Sep,2014,2,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2012,3497.6,Oct-Dec,697.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Jan-Feb,104.7,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Mar-May,598.6,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Jun-Sep,2152.1,2,Island,Tropical,2
ANDAMAN & NICOBAR ISLANDS,2013,3757.8,Oct-Dec,902.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Jan-Feb,50.5,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Mar-May,249.1,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Jun-Sep,1618.7,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2014,2622.4,Oct-Dec,704.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Jan-Feb,134.4,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Mar-May,473.2,0,Island,Tropical,0
ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Jun-Sep,1678.6,0,Island,Tropical,3
ANDAMAN & NICOBAR ISLANDS,2015,2904.6,Oct-Dec,618.4,0,Island,Tropical,0
ARUNACHAL PRADESH,1980,3215.3,Jan-Feb,195.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1980,3215.3,Mar-May,868.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1980,3215.3,Jun-Sep,1957.1,0,Hilly,Sub-tropical,4
ARUNACHAL PRADESH,1980,3215.3,Oct-Dec,193.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1981,2790.9,Jan-Feb,229.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1981,2790.9,Mar-May,737.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1981,2790.9,Jun-Sep,1667.4,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,1981,2790.9,Oct-Dec,156.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1982,2779.5,Jan-Feb,106.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1982,2779.5,Mar-May,727.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1982,2779.5,Jun-Sep,1746.4,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,1982,2779.5,Oct-Dec,198.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1983,3335.3,Jan-Feb,236.5,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1983,3335.3,Mar-May,870.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1983,3335.3,Jun-Sep,1980.6,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1983,3335.3,Oct-Dec,247.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1984,3278,Jan-Feb,140.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1984,3278,Mar-May,1004.9,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1984,3278,Jun-Sep,1853,0,Hilly,Sub-tropical,4
ARUNACHAL PRADESH,1984,3278,Oct-Dec,279.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1985,3266.2,Jan-Feb,135,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1985,3266.2,Mar-May,948.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1985,3266.2,Jun-Sep,1992.2,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1985,3266.2,Oct-Dec,190.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1986,2495.6,Jan-Feb,109.5,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1986,2495.6,Mar-May,559.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1986,2495.6,Jun-Sep,1599.1,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,1986,2495.6,Oct-Dec,227.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1987,3433.2,Jan-Feb,76.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1987,3433.2,Mar-May,730.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1987,3433.2,Jun-Sep,2461.9,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1987,3433.2,Oct-Dec,164.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1988,4155.3,Jan-Feb,169.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1988,4155.3,Mar-May,1065.4,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1988,4155.3,Jun-Sep,2457,0,Hilly,Sub-tropical,5
ARUNACHAL PRADESH,1988,4155.3,Oct-Dec,463.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1989,3281.6,Jan-Feb,224.5,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1989,3281.6,Mar-May,721.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1989,3281.6,Jun-Sep,1956.8,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1989,3281.6,Oct-Dec,379.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1990,3604,Jan-Feb,167.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1990,3604,Mar-May,805.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1990,3604,Jun-Sep,2369.5,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1990,3604,Oct-Dec,262.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1991,3434.4,Jan-Feb,110.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1991,3434.4,Mar-May,727.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1991,3434.4,Jun-Sep,2303.9,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1991,3434.4,Oct-Dec,291.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1992,2707,Jan-Feb,162.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1992,2707,Mar-May,620.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1992,2707,Jun-Sep,1702.7,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,1992,2707,Oct-Dec,221.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1993,3348.9,Jan-Feb,221.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1993,3348.9,Mar-May,673.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1993,3348.9,Jun-Sep,2203.7,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1993,3348.9,Oct-Dec,250.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1994,2287.4,Jan-Feb,120.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1994,2287.4,Mar-May,830.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1994,2287.4,Jun-Sep,1154.4,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1994,2287.4,Oct-Dec,181.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1995,3068.8,Jan-Feb,100.5,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1995,3068.8,Mar-May,647.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1995,3068.8,Jun-Sep,2155.2,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1995,3068.8,Oct-Dec,166,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1996,2520.5,Jan-Feb,91.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1996,2520.5,Mar-May,733.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1996,2520.5,Jun-Sep,1472.5,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1996,2520.5,Oct-Dec,223,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1997,2274.9,Jan-Feb,94.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1997,2274.9,Mar-May,465.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1997,2274.9,Jun-Sep,1583.7,1,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1997,2274.9,Oct-Dec,130.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1998,3616.7,Jan-Feb,105.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1998,3616.7,Mar-May,593.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1998,3616.7,Jun-Sep,2707.4,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1998,3616.7,Oct-Dec,210.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1999,2316.6,Jan-Feb,14,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1999,2316.6,Mar-May,543.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,1999,2316.6,Jun-Sep,1519,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,1999,2316.6,Oct-Dec,240.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2000,2596.8,Jan-Feb,101.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2000,2596.8,Mar-May,700.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2000,2596.8,Jun-Sep,1650,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2000,2596.8,Oct-Dec,144.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2001,2036,Jan-Feb,119.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2001,2036,Mar-May,560.5,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2001,2036,Jun-Sep,1147.8,0,Hilly,Sub-tropical,1
ARUNACHAL PRADESH,2001,2036,Oct-Dec,208,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2002,2389.2,Jan-Feb,111.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2002,2389.2,Mar-May,571.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2002,2389.2,Jun-Sep,1549.4,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2002,2389.2,Oct-Dec,156.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2003,2451.8,Jan-Feb,106.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2003,2451.8,Mar-May,465.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2003,2451.8,Jun-Sep,1656.6,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2003,2451.8,Oct-Dec,223.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2004,2545.7,Jan-Feb,77.1,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2004,2545.7,Mar-May,684.3,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2004,2545.7,Jun-Sep,1578.7,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2004,2545.7,Oct-Dec,205.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2005,2335.5,Jan-Feb,216,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2005,2335.5,Mar-May,604.6,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2005,2335.5,Jun-Sep,1343.7,0,Hilly,Sub-tropical,2
ARUNACHAL PRADESH,2005,2335.5,Oct-Dec,171.2,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2006,2259.6,Jan-Feb,109.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2006,2259.6,Mar-May,587.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2006,2259.6,Jun-Sep,1393.5,0,Hilly,Sub-tropical,2
ARUNACHAL PRADESH,2006,2259.6,Oct-Dec,168.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2007,3020.7,Jan-Feb,110.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2007,3020.7,Mar-May,590.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2007,3020.7,Jun-Sep,2185.1,2,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2007,3020.7,Oct-Dec,133.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2008,2244.4,Jan-Feb,116.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2008,2244.4,Mar-May,499.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2008,2244.4,Jun-Sep,1508.7,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2008,2244.4,Oct-Dec,119.4,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2009,1749.9,Jan-Feb,110.8,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2009,1749.9,Mar-May,394.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2009,1749.9,Jun-Sep,1111.8,0,Hilly,Sub-tropical,1
ARUNACHAL PRADESH,2009,1749.9,Oct-Dec,132.7,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2010,2855.7,Jan-Feb,13.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2010,2855.7,Mar-May,1017.5,0,Hilly,Sub-tropical,1
ARUNACHAL PRADESH,2010,2855.7,Jun-Sep,1653.6,0,Hilly,Sub-tropical,3
ARUNACHAL PRADESH,2010,2855.7,Oct-Dec,170.9,0,Hilly,Sub-tropical,0
ARUNACHAL PRADESH,2011,2193.7,Jan-Feb,91.4,0,Hilly,Sub-tropical,0
