STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN+FEB,MAM,JJAS,OND,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,Min R,Max R,Avg R,FullName,Annual Rainfall,Groundwater Recharge,Cluster
JH,15.8375,16.32083333,16.51666667,18.6625,45.875,198.775,333.8541667,310.3166667,250.9583333,79.40416667,10.2125,6.704166667,1303.4375,32.15833333,81.05416667,1093.904167,96.32083333,32.15833333,81.05416667,1093.904167,96.32083334,362.39,3869.23,1198.17,Jharkhand,1303.437500037,1147.2635290950668,0
BR,13.13421053,9.278947368,9.873684211,16.86578947,51.67368421,168.7815789,340.8368421,289.4815789,223.3789474,64.74736842,6.715789474,5.786842105,1200.555263,22.41315789,78.41315789,1022.478947,77.25,22.4131579,78.41315789,1022.478947,77.25,666.08,8465.5,2510.03,Bihar,1200.555263088,899.2122903871226,0
HR,19.48571429,16.45714286,13.73809524,7.619047619,14.64285714,51.00952381,180.3619048,190.9095238,88.72380952,18.42857143,5.266666667,7.914285714,614.5571429,35.94285714,36.0,511.0047619,31.60952381,35.94285715,36.0,511.0047619,31.60952381,209.44,2890.73,684.91,Haryana,614.55714289,572.465509616321,0
CH,44.3,38.9,33.2,14.8,30.1,120.0,282.4,287.5,154.3,31.8,9.9,23.4,1070.6,83.2,78.1,844.2,65.1,83.2,78.1,844.2,65.1,1878.63,2046.83,1998.77,Chandigargh,1070.6000000000001,856.6116838000002,0
PB,23.4,22.65,25.35,14.9,18.2,51.45,216.05,219.8,99.6,24.6,6.6,11.8,734.4,46.05,58.45,586.9,43.0,46.05,58.45,586.9,43.0,218.13,4322.41,987.59,Punjab,734.4,661.8713904,0
HP,81.925,80.45,87.63333333,47.68333333,54.35833333,108.6833333,343.825,322.325,150.2666667,39.30833333,16.90833333,38.225,1371.591667,162.375,189.675,925.1,94.44166667,162.375,189.675,925.1,94.44166666,47.69,5098.11,1340.65,Himachal,1371.5916666500002,1187.709229860568,0
RJ,5.348484848,4.721212121,3.815151515,3.303030303,10.62727273,54.0969697,195.2787879,194.5545455,86.14545455,14.43030303,6.254545455,3.021212121,581.5969697,10.06969697,17.74545455,530.0757576,23.70606061,10.06969697,17.74545455,530.0757577,23.70606061,65.56,1198.77,318.8,Rajsthan,581.5969697729998,563.0556583766366,0
GJ,0.784615385,0.392307692,1.142307692,0.507692308,4.803846154,139.2461538,333.8384615,257.6307692,148.4730769,25.10384615,10.82692308,1.592307692,924.3423077,1.176923077,6.453846154,879.1884615,37.52307692,1.176923077,6.453846154,879.1884614,37.52307692,165.75,1257.62,447.94,Gujarat,924.342307553,882.9373182284709,0
MH,4.791428571,3.474285714,5.997142857,6.974285714,19.92571429,240.98,388.8942857,314.5857143,191.3114286,75.64857143,18.58857143,7.417142857,1278.588571,8.265714286,32.89714286,1135.771429,101.6542857,8.265714285,32.89714286,1135.771429,101.6542857,91.51,4104.29,657.51,Mahar,1278.588571463,1194.5200943007364,0
GA,0.55,0.05,0.55,7.8,87.75,908.1,1108.1,683.8,280.9,155.7,35.0,10.2,3278.5,0.6,96.1,2980.9,200.0,0.6,96.1,2980.9,200.9,585.68,2513.54,1113.0,Goa,3278.4999999999995,2913.60295,1
CG,10.37777778,10.47222222,12.97777778,13.11666667,17.48333333,180.5833333,375.4055556,375.3388889,214.4444444,61.84444444,8.494444444,5.811111111,1286.35,20.85,43.57777778,1145.772222,76.15,20.85,43.57777778,1145.772222,76.15,353.11,3825.95,1223.64,Chattisgarh,1286.349999975,1128.947068578059,0
TN,18.90625,14.021875,18.06875,42.596875,67.53125,50.321875,72.60625,91.571875,116.340625,186.928125,184.625,96.4875,960.00625,32.928125,128.196875,330.840625,468.040625,32.928125,128.196875,330.840625,468.040625,161.53,1661.45,574.07,Tamilnadu,960.0062499999999,904.89517120625,0
PY,26.75,25.425,16.725,12.275,40.825,47.675,78.025,116.425,119.9,271.95,395.15,227.35,1378.475,52.175,69.825,362.025,894.45,52.175,69.825,362.025,894.45,263.1,1298.79,482.9,Pudduchery,1378.475,1311.90844225,0
KA,2.026666667,2.696666667,7.163333333,36.77333333,88.16666667,204.88,280.7,209.2566667,164.0766667,143.3566667,44.35,11.17,1194.616667,4.723333333,132.1033333,858.9133333,198.8766667,4.723333334,132.1033333,858.9133334,198.8766667,139.18,3628.75,488.3,Kaenataka,1194.616666767,1136.2835349287673,0
KL,9.542857143,16.2,31.07142857,109.0214286,244.7285714,658.7071429,724.3285714,417.95,245.1571429,290.9071429,151.5357143,38.24285714,2937.392857,25.74285714,384.8214286,2046.142857,480.6857143,25.74285714,384.8214286,2046.142857,480.6857143,273.93,2981.54,1171.33,Kerala,2937.392857253,2593.3272197043843,1
